ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Aroer 1,Aroer,TBC,TBC,TBC,"Deut 2:36, Deut 3:12, Deut 4:48, Josh 12:2, Josh 13:9, Josh 13:16, Judg 11:26, 2 Kgs 10:33, Jer 48:19",0.0,0.0,TBC,TBC
Aroer 2,TBC,TBC,"Num 32:34, Josh 13:25, Judg 11:33, 2 Sam 24:5, 1 Chr 5:8, Isa 17:2",TBC,TBC,31.9617,35.9115,TBC,TBC
Aroer 3,Aroer / Adhadah,TBC,TBC,TBC,1 Sam 30:28,0.0,0.0,TBC,TBC
Arpad,Hamath,TBC,TBC,TBC,"2 Kgs 18:34, 2 Kgs 19:13, Isa 10:9, Isa 36:19, Isa 37:13, Jer 49:23",0.0,0.0,TBC,TBC
Arubboth,Socoh 1,TBC,TBC,TBC,1 Kgs 4:10,0.0,0.0,TBC,TBC
Arumah,TBC,TBC,Judg 9:41,TBC,TBC,32.154887,35.318192,TBC,TBC
Arvad,TBC,TBC,"Ezek 27:8, Ezek 27:11",TBC,TBC,34.856082,35.858485,TBC,TBC
Ashan,Ashnah,TBC,TBC,TBC,"Josh 15:42, Josh 19:7, 1 Chr 4:32, 1 Chr 6:59",0.0,0.0,TBC,TBC
Ashdod,Ashdod,TBC,TBC,TBC,"Josh 11:22, Josh 13:3, Josh 15:46, Josh 15:47, 1 Sam 5:1, 1 Sam 5:3, 1 Sam 5:5, 1 Sam 5:6, 1 Sam 5:7, 1 Sam 6:17, 2 Chr 26:6, Neh 13:23, Neh 13:24, Isa 20:1, Jer 25:20, Amos 1:8, Amos 3:9, Zech 9:6",0.0,0.0,TBC,TBC
Ashdod's,Ashdod,TBC,TBC,TBC,Zeph 2:4,0.0,0.0,TBC,TBC
Ashkelon,Ashkelon,TBC,TBC,TBC,"Josh 13:3, Judg 1:18, Judg 14:19, 1 Sam 6:17, 2 Sam 1:20, Jer 25:20, Jer 47:5, Jer 47:7, Amos 1:8, Zeph 2:4, Zeph 2:7, Zech 9:5",0.0,0.0,TBC,TBC
Ashkenaz,TBC,TBC,Jer 51:27,TBC,TBC,40.6,44.6,TBC,TBC
Ashnah,TBC,TBC,"Josh 15:33, Josh 15:43",TBC,TBC,31.8099,34.9365,TBC,TBC
Ashtaroth,"Ashtaroth, Astaroth",TBC,TBC,TBC,"Deut 1:4, Josh 9:10, Josh 12:4, Josh 13:12, Josh 13:31, 1 Chr 6:71",0.0,0.0,TBC,TBC
Ashteroth-karnaim,Ashteroth Karnaim,TBC,TBC,TBC,Gen 14:5,0.0,0.0,TBC,TBC
Asia,region,TBC,"Acts 2:9, Acts 6:9, Acts 16:6, Acts 19:10, Acts 19:22, Acts 19:26, Acts 19:27, Acts 20:16, Acts 20:18, Acts 21:27, Acts 24:18, Acts 27:2, Rom 16:5, 1 Cor 16:19, 2 Cor 1:8, 2 Tim 1:15, 1 Pet 1:1, Rev 1:4",TBC,TBC,39.23,32.73,TBC,TBC
Asshur,Assyria,TBC,TBC,TBC,"Num 24:22, Num 24:24, Ps 83:8, Ezek 27:23",0.0,0.0,TBC,TBC
Assos,Assos,TBC,TBC,TBC,"Acts 20:13, Acts 20:14",0.0,0.0,TBC,TBC
Assyria,Nineveh,region,TBC,TBC,"Gen 2:14, Gen 10:11, Gen 25:18, 2 Kgs 15:19, 2 Kgs 15:20, 2 Kgs 15:29, 2 Kgs 16:7, 2 Kgs 16:8, 2 Kgs 16:9, 2 Kgs 16:10, 2 Kgs 16:18, 2 Kgs 17:3, 2 Kgs 17:4, 2 Kgs 17:5, 2 Kgs 17:6, 2 Kgs 17:23, 2 Kgs 17:24, 2 Kgs 17:26, 2 Kgs 17:27, 2 Kgs 18:7, 2 Kgs 18:9, 2 Kgs 18:11, 2 Kgs 18:13, 2 Kgs 18:14, 2 Kgs 18:16, 2 Kgs 18:17, 2 Kgs 18:19, 2 Kgs 18:23, 2 Kgs 18:28, 2 Kgs 18:30, 2 Kgs 18:31, 2 Kgs 18:33, 2 Kgs 19:4, 2 Kgs 19:6, 2 Kgs 19:8, 2 Kgs 19:10, 2 Kgs 19:11, 2 Kgs 19:17, 2 Kgs 19:20, 2 Kgs 19:32, 2 Kgs 19:36, 2 Kgs 20:6, 2 Kgs 23:29, 1 Chr 5:6, 1 Chr 5:26, 2 Chr 28:16, 2 Chr 28:20, 2 Chr 28:21, 2 Chr 30:6, 2 Chr 32:1, 2 Chr 32:4, 2 Chr 32:7, 2 Chr 32:9, 2 Chr 32:10, 2 Chr 32:11, 2 Chr 32:21, 2 Chr 32:22, 2 Chr 33:11, Ezra 4:2, Ezra 6:22, Neh 9:32, Isa 7:17, Isa 7:18, Isa 7:20, Isa 8:4, Isa 8:7, Isa 10:5, Isa 10:12, Isa 11:11, Isa 11:16, Isa 19:23, Isa 19:24, Isa 19:25, Isa 20:1, Isa 20:4, Isa 20:6, Isa 23:13, Isa 27:13, Isa 36:1, Isa 36:2, Isa 36:4, Isa 36:8, Isa 36:13, Isa 36:15, Isa 36:16, Isa 36:18, Isa 37:4, Isa 37:6, Isa 37:8, Isa 37:10, Isa 37:11, Isa 37:18, Isa 37:21, Isa 37:33, Isa 37:37, Isa 38:6, Jer 2:18, Jer 2:36, Jer 50:17, Jer 50:18, Lam 5:6, Ezek 23:7, Ezek 31:3, Ezek 32:22, Hos 5:13, Hos 7:11, Hos 8:9, Hos 9:3, Hos 10:6, Hos 11:5, Hos 11:11, Hos 12:1, Hos 14:3, Mic 5:6, Mic 7:12, Nahum 3:18, Zeph 2:13, Zech 10:10, Zech 10:11",0.0,0.0,TBC,TBC
Atad,Abel-mizraim,TBC,TBC,TBC,"Gen 50:10, Gen 50:11",0.0,0.0,TBC,TBC
Ataroth 1,Ataroth,TBC,TBC,TBC,"Num 32:3, Num 32:34",0.0,0.0,TBC,TBC
Ataroth 2,Upper Beth-horon,TBC,TBC,TBC,"Josh 16:2, Josh 16:7",0.0,0.0,TBC,TBC
Ataroth-addar,Ataroth 2,TBC,TBC,TBC,"Josh 16:5, Josh 18:13",0.0,0.0,TBC,TBC
Athach,TBC,TBC,TBC,TBC,1 Sam 30:30,0.0,0.0,TBC,TBC
Atharim,Hormah,TBC,TBC,TBC,Num 21:1,0.0,0.0,TBC,TBC
Athens,Athens,TBC,TBC,TBC,"Acts 17:15, Acts 17:16, Acts 17:22, Acts 18:1, 1 Thes 3:1",0.0,0.0,TBC,TBC
Atroth-shophan,Aroer 2,TBC,TBC,TBC,Num 32:35,0.0,0.0,TBC,TBC
Attalia,Attalia,TBC,TBC,TBC,Acts 14:25,0.0,0.0,TBC,TBC
Aven,Bethel 1,TBC,TBC,TBC,Hos 10:8,0.0,0.0,TBC,TBC
Avith,Edom,TBC,TBC,TBC,"Gen 36:35, 1 Chr 1:46",0.0,0.0,TBC,TBC
Avva,Ivvah,TBC,TBC,TBC,2 Kgs 17:24,0.0,0.0,TBC,TBC
Avvim,Hebron,TBC,TBC,TBC,Josh 18:23,0.0,0.0,TBC,TBC
Ayyah,Gaza,TBC,TBC,TBC,1 Chr 7:28,0.0,0.0,TBC,TBC
Azal,Mount of Olives,TBC,TBC,TBC,Zech 14:5,0.0,0.0,TBC,TBC
Azazel,-,TBC,TBC,TBC,"Lev 16:8, Lev 16:10, Lev 16:26",0.0,0.0,TBC,TBC
Azekah,Azekah,TBC,TBC,TBC,"Josh 10:10, Josh 10:11, Josh 15:35, 1 Sam 17:1, 2 Chr 11:9, Neh 11:30, Jer 34:7",0.0,0.0,TBC,TBC
Azmaveth,Beth-azmaveth,TBC,TBC,TBC,"Ezra 2:24, Neh 12:29",0.0,0.0,TBC,TBC
Azmon,TBC,TBC,"Num 34:4, Num 34:5, Josh 15:4",TBC,TBC,30.958506,34.3805,TBC,TBC
Aznoth-tabor,Mount Tabor,TBC,TBC,TBC,Josh 19:34,0.0,0.0,TBC,TBC
Azotus,Ashdod,TBC,TBC,TBC,Acts 8:40,0.0,0.0,TBC,TBC
Baal,Baalath-beer,TBC,TBC,TBC,1 Chr 4:33,0.0,0.0,TBC,TBC
Baalah 1,Beersheba,TBC,TBC,TBC,Josh 15:29,0.0,0.0,TBC,TBC
Baalah 2,Kiriath-jearim,TBC,TBC,TBC,"Josh 15:9, Josh 15:10, 1 Chr 13:6",0.0,0.0,TBC,TBC
Baalath 1,TBC,TBC,Josh 19:44,TBC,TBC,31.927451,35.055378,TBC,TBC
Baalath 2,Baalath 1,TBC,TBC,TBC,"1 Kgs 9:18, 2 Chr 8:6",0.0,0.0,TBC,TBC
Baalath-beer,TBC,TBC,Josh 19:8,TBC,TBC,32.049953,35.733402,TBC,TBC
Baale-judah,Kiriath-jearim,TBC,TBC,TBC,2 Sam 6:2,0.0,0.0,TBC,TBC
Baal-gad,Baal-hermon,TBC,TBC,TBC,"Josh 11:17, Josh 12:7, Josh 13:5",0.0,0.0,TBC,TBC
Baal-hamon,Baal-gad,TBC,TBC,TBC,Sng 8:11,0.0,0.0,TBC,TBC
Baal-hazor,TBC,TBC,2 Sam 13:23,TBC,TBC,31.979434,35.279229,TBC,TBC
Baal-hermon,Mount Baal-hermon,TBC,TBC,TBC,1 Chr 5:23,0.0,0.0,TBC,TBC
Baal-meon,TBC,TBC,"Num 32:38, 1 Chr 5:8, Ezek 25:9",TBC,TBC,31.679454,35.734892,TBC,TBC
Baal-peor,Peor,TBC,TBC,TBC,"Deut 4:3, Hos 9:10",0.0,0.0,TBC,TBC
Baal-perazim,Mount Perazim,TBC,TBC,TBC,"2 Sam 5:20, 1 Chr 14:11",0.0,0.0,TBC,TBC
Baal-shalishah,Gilgal 2,TBC,TBC,TBC,2 Kgs 4:42,0.0,0.0,TBC,TBC
Baal-tamar,Gibeah 1,TBC,TBC,TBC,Judg 20:33,0.0,0.0,TBC,TBC
Baal-zephon,TBC,TBC,"Ex 14:2, Ex 14:9, Num 33:7",TBC,TBC,29.938441,32.395473,TBC,TBC
Babel,Babylon / Babel,TBC,TBC,TBC,"Gen 10:10, Gen 11:9",0.0,0.0,TBC,TBC
