ESV Name,Name,KMZ Name,MSG Name,NLT Name,NIV Name,Lat,Lon,Passages,Comment
Tehaphnehes,Tahpanhes,TBC,TBC,TBC,Ezek 30:18,0.0,0.0,N/A,N/A
Tekoa,Tekoa,TBC,TBC,TBC,"2 Sam 14:2, 2 Sam 14:4, 2 Sam 14:9, 2 Sam 23:26, 1 Chr 11:28, 2 Chr 11:6, 2 Chr 20:20, Jer 6:1, Amos 1:1",0.0,0.0,N/A,N/A
Tel-abib,Calneh,TBC,TBC,TBC,Ezek 3:15,0.0,0.0,N/A,N/A
Telaim,Telem,TBC,TBC,TBC,1 Sam 15:4,0.0,0.0,N/A,N/A
Telassar,Susa,from http://en.wikipedia.org/wiki/Elam,TBC,TBC,"2 Kgs 19:12, Isa 37:12",0.0,0.0,N/A,http://en.wikipedia.org/wiki/Elam
Telem,Bealoth,TBC,TBC,TBC,Josh 15:24,0.0,0.0,N/A,N/A
Tel-harsha,Tel-melah,TBC,TBC,TBC,"Ezra 2:59, Neh 7:61",0.0,0.0,N/A,N/A
Tel-melah,Calneh,from tyndale,TBC,TBC,"Ezra 2:59, Neh 7:61",0.0,0.0,N/A,N/A
Tema,TBC,TBC,"Job 6:19, Isa 21:14, Jer 25:23",TBC,TBC,27.633172,38.554125,N/A,N/A
Teman,region,TBC,"Jer 49:7, Jer 49:20, Ezek 25:13, Amos 1:12, Obad 1:9, Hab 3:3",TBC,TBC,30.203813,35.732568,N/A,N/A
Terah,Mithkah,TBC,TBC,TBC,"Num 33:27, Num 33:28",0.0,0.0,N/A,N/A
The Lord Is There,Jerusalem,TBC,TBC,TBC,Ezek 48:35,0.0,0.0,N/A,N/A
The Place of a Skull,Jerusalem,TBC,TBC,TBC,John 19:17,0.0,0.0,N/A,N/A
The Skull,Jerusalem,TBC,TBC,TBC,Luke 23:33,0.0,0.0,N/A,N/A
The Stone Pavement,<Jerusalem,TBC,TBC,TBC,John 19:13,0.0,0.0,N/A,N/A
Thebes,TBC,TBC,"Jer 46:25, Ezek 30:14, Ezek 30:15, Ezek 30:16, Nahum 3:8",TBC,TBC,25.700025,32.639441,N/A,N/A
Thebez,Thebez,TBC,TBC,TBC,"Judg 9:50, 2 Sam 11:21",0.0,0.0,N/A,N/A
Thessalonica,Thessalonica,TBC,TBC,TBC,"Acts 17:1, Acts 17:11, Acts 17:13, Acts 27:2, Phil 4:16, 2 Tim 4:10",0.0,0.0,N/A,N/A
Three Taverns,TBC,TBC,Acts 28:15,TBC,TBC,41.59132,12.828636,N/A,N/A
Thyatira,Thyatira,TBC,TBC,TBC,"Acts 16:14, Rev 1:11, Rev 2:18, Rev 2:24",0.0,0.0,N/A,N/A
Tiberias,Tiberias,TBC,TBC,TBC,John 6:23,0.0,0.0,N/A,N/A
Tibhath,Betah,TBC,TBC,TBC,1 Chr 18:8,0.0,0.0,N/A,N/A
Tigris,TBC,TBC,"Gen 2:14, Dan 10:4",TBC,TBC,35.983343,43.346466,N/A,N/A
Timnah 1,TBC,TBC,"Gen 38:12, Gen 38:13, Gen 38:14, Josh 15:10, Josh 19:43, Judg 14:1, Judg 14:2, Judg 14:5, 2 Chr 28:18",TBC,TBC,31.784368,34.90968,N/A,N/A
Timnah 2,TBC,TBC,Josh 15:57,TBC,TBC,31.699323,35.040359,N/A,N/A
Timnath-heres,TBC,TBC,Judg 2:9,TBC,TBC,32.121473,35.150392,N/A,N/A
Timnath-serah,Timnath-heres,TBC,TBC,TBC,"Josh 19:50, Josh 24:30",0.0,0.0,N/A,N/A
Tiphsah 1,TBC,TBC,1 Kgs 4:24,TBC,TBC,35.847967,38.73235,N/A,N/A
Tiphsah 2,TBC,TBC,2 Kgs 15:16,TBC,TBC,32.166667,35.166667,N/A,N/A
Tirzah,Tirzah,TBC,TBC,TBC,"Josh 12:24, 1 Kgs 14:17, 1 Kgs 15:21, 1 Kgs 15:33, 1 Kgs 16:6, 1 Kgs 16:8, 1 Kgs 16:9, 1 Kgs 16:15, 1 Kgs 16:17, 1 Kgs 16:23, 2 Kgs 15:14, 2 Kgs 15:16, Sng 6:4",0.0,0.0,N/A,N/A
